trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
37,False,"{'a': 0.5, 'e': 0.57407226119643606}",25,0,-75.66704640509087,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",1
38,False,"{'a': 0.5, 'e': 0.56552543869953709}",30,0,-30.200749018298783,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.55710586181217392}",30,0,-38.2716191616497,"{0: 24, 1: 0, 2: 5, 3: 1, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.5488116360940265}",30,12,-8.69721538841815,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.54064089530931658}",25,0,-46.21412368933262,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.53259180100689718}",25,0,-134.66185908509502,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
43,False,"{'a': 0.5, 'e': 0.52466254210659291}",30,4,-127.5292240855862,"{0: 17, 1: 1, 2: 3, 3: 4, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.51685133449169929}",20,0,8.429075120531657,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.50915642060754918}",25,15,-2.478377990055188,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.50157606906605556}",25,13,-11.285526659629225,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.49410857425614169}",20,10,3.4183701860247053,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.48675225595997168}",25,0,-23.63927888628364,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.47950545897489411}",30,0,-112.12902614989775,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.47236655274101469}",20,0,-18.855600542105048,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.46533393097431341}",25,0,-73.30871840773392,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.45840601130522352}",25,0,-121.76746394996772,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
53,False,"{'a': 0.5, 'e': 0.45158123492259228}",20,14,-1.8547607025146662,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.44485806622294116}",20,6,-22.10085508414426,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.43823499246494924}",35,21,-62.91988441109727,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,1,-4.644202474010661,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.42528319108227414}",20,0,-80.16705859401699,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.418951549247639}",20,8,-31.879849063876733,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.41271417327904969}",25,0,-23.52648293495949,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.40656965974059917}",20,2,-47.93250444152407,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.40051662609081884}",30,1,-44.33294237558081,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.39455371037160114}",20,3,20.03638025388691,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.38867957090175304}",25,17,7.454851096118177,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.38289288597511206}",30,8,8.666292026269673,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.37719235356315695}",20,12,15.05369621215308,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.37157669102204571}",25,3,-38.46514697526933,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.36604463480401539}",25,0,-59.11705634535373,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.3605949401730783}",25,0,-103.22874858452977,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.35522638092495151}",20,15,8.185718095272371,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.34993774911115533}",20,0,-106.28306041028702,"{0: 9, 1: 2, 2: 7, 3: 2, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.34472785476722018}",20,5,6.678656795835808,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.33959552564493911}",25,3,19.33067478857504,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.33453960694860763}",25,13,-48.41197621660865,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.32955896107518912}",25,0,-59.08263739788678,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.32465246735834974}",30,7,23.917912280062037,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.31981902181630395}",30,8,-53.5556308941938,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.31505753690341332}",20,3,-20.432326695288126,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.31036694126548503}",20,6,9.179816818495102,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.30574617949871175}",20,10,-31.070995118846035,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.30119421191220214}",25,4,16.439782235348673,"{0: 18, 1: 3, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.29671001429404531}",25,1,8.256455482288139,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.29229257768085942}",30,14,15.76124706780207,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.28794090813077028}",20,7,-9.430012838559403,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.2836540264997704}",20,0,-13.485137411643379,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.27943096822140734}",25,11,15.756717441480403,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.27527078308975234}",25,0,-28.471133573000746,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
